Time,Time Code,Country Name,Country Code,Domestic general government health expenditure (% of GDP) [SH.XPD.GHED.GD.ZS],Domestic general government health expenditure (% of current health expenditure) [SH.XPD.GHED.CH.ZS],Domestic general government health expenditure (% of general government expenditure) [SH.XPD.GHED.GE.ZS],General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS]
2000,YR2000,Afghanistan,AFG,..,..,..,..
2000,YR2000,Albania,ALB,2.76583052,46.53004456,8.17372704,9.73155830514379
2000,YR2000,Algeria,DZA,2.31351972,71.96343231,8.77923775,13.5839456347184
2000,YR2000,American Samoa,ASM,..,..,..,..
2000,YR2000,Andorra,AND,3.88115096,65.41166687,30.41848755,..
2000,YR2000,Angola,AGO,1.11098742,58.20957184,2.73858261,..
2000,YR2000,Antigua and Barbuda,ATG,2.72769094,57.84612274,11.86253166,..
2000,YR2000,Argentina,ARG,4.49895144,54.7317009,17.81966209,13.7841913064131
2000,YR2000,Armenia,ARM,0.95468217,22.7532177,3.86989212,10.7986680994975
2000,YR2000,Aruba,ABW,..,..,..,21.4195402984363
2000,YR2000,Australia,AUS,5.45143652,71.8363266,14.60132885,18.5380745283503
2000,YR2000,Austria,AUT,6.82578707,74.16340637,13.37524414,19.3282687281008
2000,YR2000,Azerbaijan,AZE,0.86689276,29.3969841,4.75029039,15.1501663805345
2000,YR2000,"Bahamas, The",BHS,1.50591624,39.57865143,13.34992313,9.2540429172646
2000,YR2000,Bahrain,BHR,2.3711853,71.09094238,10.26810646,16.2088242630552
2000,YR2000,Bangladesh,BGD,0.50841981,28.16659737,5.21146441,4.97312138319291
2000,YR2000,Barbados,BRB,2.76476121,51.85347748,12.27690411,..
2000,YR2000,Belarus,BLR,4.15422821,78.66545105,12.1293211,19.4785302940726
2000,YR2000,Belgium,BEL,5.96185923,74.53091431,12.06895447,21.0401971476314
2000,YR2000,Belize,BLZ,1.42340589,46.03772736,5.84757805,14.3120554921415
2000,YR2000,Benin,BEN,1.14174652,38.58332062,7.29948664,8.08059450959748
2000,YR2000,Bermuda,BMU,..,..,..,..
2000,YR2000,Bhutan,BTN,3.29712725,79.66617584,7.66199493,23.9398059875044
2000,YR2000,Bolivia,BOL,2.43201661,55.32917404,8.29598331,14.5392995149189
2000,YR2000,Bosnia and Herzegovina,BIH,4.08413935,51.16267014,7.25399256,24.6018002585722
2000,YR2000,Botswana,BWA,3.2540555,53.27193832,8.17829704,24.9027290058887
2000,YR2000,Brazil,BRA,3.47014546,41.63555527,9.67673969,18.7678457444131
2000,YR2000,British Virgin Islands,VGB,..,..,..,..
2000,YR2000,Brunei Darussalam,BRN,2.14453936,84.16868591,5.72010231,25.8203529359104
2000,YR2000,Bulgaria,BGR,3.4715004,59.55728912,8.07666683,19.7851119720333
2000,YR2000,Burkina Faso,BFA,0.96129316,32.58329773,4.84836864,14.1091885003293
2000,YR2000,Burundi,BDI,1.46507239,34.70241928,5.94454002,14.8566983263618
2000,YR2000,Cabo Verde,CPV,3.16139579,71.29876709,7.50158787,..
2000,YR2000,Cambodia,KHM,1.27856123,19.72724915,8.59173584,5.17583101976887
2000,YR2000,Cameroon,CMR,0.64510846,15.01742268,4.42626905,10.792113437517
2000,YR2000,Canada,CAN,6.00890827,72.85163879,14.8156271,19.1064161806335
2000,YR2000,Cayman Islands,CYM,..,..,..,..
2000,YR2000,Central African Republic,CAF,1.72009432,39.26419449,10.02161694,16.284531790337
2000,YR2000,Chad,TCD,1.52323806,38.03084946,11.39879036,7.71826323002747
2000,YR2000,Channel Islands,CHI,..,..,..,..
2000,YR2000,Chile,CHL,2.50570464,35.79472351,10.95628929,12.5909258671039
2000,YR2000,China,CHN,0.99070781,21.97528839,6.08984089,16.9834545142268
2000,YR2000,Colombia,COL,4.20017815,74.53343964,14.88161659,16.4728505593893
